event_id,account_id,user_id,session_id,feature_name,event_ts
evt_000001,acc_001,usr_acc_001_01,sess_acc_001_0_01_9928,api,2026-06-30 11:32:00
evt_000002,acc_001,usr_acc_001_01,sess_acc_001_0_01_7924,dashboard,2026-07-02 11:28:00
evt_000003,acc_001,usr_acc_001_01,sess_acc_001_0_01_6574,users_mgmt,2026-07-02 11:28:00
evt_000004,acc_001,usr_acc_001_01,sess_acc_001_0_01_5552,reports,2026-07-02 11:28:00
evt_000005,acc_001,usr_acc_001_02,sess_acc_001_0_02_2584,users_mgmt,2026-06-30 13:06:00
evt_000006,acc_001,usr_acc_001_02,sess_acc_001_0_02_9785,dashboard,2026-07-01 13:38:00
evt_000007,acc_001,usr_acc_001_02,sess_acc_001_0_02_3045,alerts,2026-07-01 13:38:00
evt_000008,acc_001,usr_acc_001_02,sess_acc_001_0_02_7201,api,2026-07-01 13:38:00
evt_000009,acc_001,usr_acc_001_02,sess_acc_001_0_02_1750,api,2026-06-29 16:18:00
evt_000010,acc_001,usr_acc_001_02,sess_acc_001_0_02_4733,alerts,2026-06-29 16:18:00
evt_000011,acc_001,usr_acc_001_02,sess_acc_001_0_02_5741,dashboard,2026-06-29 16:18:00
evt_000012,acc_001,usr_acc_001_03,sess_acc_001_0_03_5554,users_mgmt,2026-07-05 11:55:00
evt_000013,acc_001,usr_acc_001_03,sess_acc_001_0_03_4432,export,2026-07-02 18:53:00
evt_000014,acc_001,usr_acc_001_03,sess_acc_001_0_03_5374,analytics,2026-07-02 18:53:00
evt_000015,acc_001,usr_acc_001_03,sess_acc_001_0_03_2169,users_mgmt,2026-07-02 18:53:00
evt_000016,acc_001,usr_acc_001_04,sess_acc_001_0_04_7216,export,2026-07-04 10:34:00
evt_000017,acc_001,usr_acc_001_04,sess_acc_001_0_04_5422,api,2026-07-04 10:34:00
evt_000018,acc_001,usr_acc_001_04,sess_acc_001_0_04_6168,dashboard,2026-07-04 16:14:00
evt_000019,acc_001,usr_acc_001_04,sess_acc_001_0_04_7572,reports,2026-07-04 16:14:00
evt_000020,acc_001,usr_acc_001_04,sess_acc_001_0_04_5386,analytics,2026-07-04 16:14:00
evt_000021,acc_001,usr_acc_001_04,sess_acc_001_0_04_7482,api,2026-06-29 11:58:00
evt_000022,acc_001,usr_acc_001_04,sess_acc_001_0_04_8517,alerts,2026-06-29 11:58:00
evt_000023,acc_001,usr_acc_001_04,sess_acc_001_0_04_3340,analytics,2026-06-29 11:58:00
evt_000024,acc_001,usr_acc_001_04,sess_acc_001_0_04_6930,users_mgmt,2026-07-01 10:15:00
evt_000025,acc_001,usr_acc_001_04,sess_acc_001_0_04_4593,integrations,2026-07-01 10:15:00
evt_000026,acc_001,usr_acc_001_04,sess_acc_001_0_04_3266,api,2026-07-01 10:15:00
evt_000027,acc_001,usr_acc_001_04,sess_acc_001_0_04_3504,reports,2026-07-03 15:05:00
evt_000028,acc_001,usr_acc_001_04,sess_acc_001_0_04_8668,reports,2026-07-04 10:50:00
evt_000029,acc_001,usr_acc_001_04,sess_acc_001_0_04_9669,api,2026-07-04 10:50:00
evt_000030,acc_001,usr_acc_001_04,sess_acc_001_0_04_5119,users_mgmt,2026-07-04 10:50:00
evt_000031,acc_001,usr_acc_001_04,sess_acc_001_0_04_1188,integrations,2026-07-04 10:50:00
evt_000032,acc_001,usr_acc_001_05,sess_acc_001_0_05_8123,alerts,2026-07-04 09:43:00
evt_000033,acc_001,usr_acc_001_05,sess_acc_001_0_05_3591,dashboard,2026-07-04 09:43:00
evt_000034,acc_001,usr_acc_001_05,sess_acc_001_0_05_8433,export,2026-07-04 09:43:00
evt_000035,acc_001,usr_acc_001_05,sess_acc_001_0_05_5889,reports,2026-06-29 12:32:00
evt_000036,acc_001,usr_acc_001_05,sess_acc_001_0_05_9317,users_mgmt,2026-06-29 12:32:00
evt_000037,acc_001,usr_acc_001_05,sess_acc_001_0_05_1009,export,2026-07-03 11:09:00
evt_000038,acc_001,usr_acc_001_05,sess_acc_001_0_05_6310,integrations,2026-07-03 11:09:00
evt_000039,acc_001,usr_acc_001_05,sess_acc_001_0_05_9005,users_mgmt,2026-07-03 11:09:00
evt_000040,acc_001,usr_acc_001_05,sess_acc_001_0_05_4946,integrations,2026-06-29 09:59:00
evt_000041,acc_001,usr_acc_001_05,sess_acc_001_0_05_2290,reports,2026-06-29 09:59:00
evt_000042,acc_001,usr_acc_001_05,sess_acc_001_0_05_2403,dashboard,2026-06-29 09:59:00
evt_000043,acc_001,usr_acc_001_05,sess_acc_001_0_05_3103,export,2026-07-04 15:52:00
evt_000044,acc_001,usr_acc_001_05,sess_acc_001_0_05_7932,integrations,2026-07-04 15:35:00
evt_000045,acc_001,usr_acc_001_05,sess_acc_001_0_05_4470,analytics,2026-07-04 15:35:00
evt_000046,acc_001,usr_acc_001_05,sess_acc_001_0_05_7118,users_mgmt,2026-07-03 11:45:00
evt_000047,acc_001,usr_acc_001_05,sess_acc_001_0_05_8177,alerts,2026-07-03 11:45:00
evt_000048,acc_001,usr_acc_001_05,sess_acc_001_0_05_9479,analytics,2026-07-03 11:45:00
evt_000049,acc_001,usr_acc_001_06,sess_acc_001_0_06_1344,alerts,2026-06-29 11:14:00
evt_000050,acc_001,usr_acc_001_06,sess_acc_001_0_06_1964,dashboard,2026-07-03 16:14:00
evt_000051,acc_001,usr_acc_001_06,sess_acc_001_0_06_4750,analytics,2026-07-03 16:14:00
evt_000052,acc_001,usr_acc_001_06,sess_acc_001_0_06_5562,reports,2026-06-29 08:55:00
evt_000053,acc_001,usr_acc_001_06,sess_acc_001_0_06_8953,integrations,2026-06-29 08:55:00
evt_000054,acc_001,usr_acc_001_06,sess_acc_001_0_06_4510,analytics,2026-06-29 08:55:00
evt_000055,acc_001,usr_acc_001_06,sess_acc_001_0_06_4119,api,2026-07-03 10:46:00
evt_000056,acc_001,usr_acc_001_06,sess_acc_001_0_06_2545,users_mgmt,2026-07-03 10:46:00
evt_000057,acc_001,usr_acc_001_06,sess_acc_001_0_06_2588,analytics,2026-07-03 10:46:00
evt_000058,acc_001,usr_acc_001_06,sess_acc_001_0_06_8062,alerts,2026-07-03 10:46:00
evt_000059,acc_001,usr_acc_001_06,sess_acc_001_0_06_1993,dashboard,2026-07-01 14:26:00
evt_000060,acc_001,usr_acc_001_06,sess_acc_001_0_06_7596,alerts,2026-07-01 14:26:00
evt_000061,acc_001,usr_acc_001_06,sess_acc_001_0_06_6559,users_mgmt,2026-07-01 14:26:00
evt_000062,acc_001,usr_acc_001_06,sess_acc_001_0_06_2790,analytics,2026-07-01 14:26:00
evt_000063,acc_001,usr_acc_001_07,sess_acc_001_0_07_8579,export,2026-06-30 11:34:00
evt_000064,acc_001,usr_acc_001_07,sess_acc_001_0_07_5092,api,2026-06-30 11:34:00
evt_000065,acc_001,usr_acc_001_07,sess_acc_001_0_07_2235,reports,2026-06-30 11:34:00
evt_000066,acc_001,usr_acc_001_07,sess_acc_001_0_07_8260,analytics,2026-06-30 11:34:00
evt_000067,acc_001,usr_acc_001_07,sess_acc_001_0_07_2528,dashboard,2026-07-05 16:06:00
evt_000068,acc_001,usr_acc_001_07,sess_acc_001_0_07_1960,analytics,2026-07-05 11:10:00
evt_000069,acc_001,usr_acc_001_07,sess_acc_001_0_07_3697,api,2026-07-05 11:10:00
evt_000070,acc_001,usr_acc_001_07,sess_acc_001_0_07_7209,reports,2026-07-05 11:10:00
evt_000071,acc_001,usr_acc_001_07,sess_acc_001_0_07_1035,users_mgmt,2026-07-05 11:10:00
evt_000072,acc_001,usr_acc_001_08,sess_acc_001_0_08_4566,analytics,2026-07-01 15:18:00
evt_000073,acc_001,usr_acc_001_08,sess_acc_001_0_08_1958,reports,2026-07-01 15:18:00
evt_000074,acc_001,usr_acc_001_08,sess_acc_001_0_08_9883,users_mgmt,2026-07-01 15:18:00
evt_000075,acc_001,usr_acc_001_08,sess_acc_001_0_08_1998,export,2026-07-01 15:18:00
evt_000076,acc_001,usr_acc_001_08,sess_acc_001_0_08_9238,analytics,2026-07-04 13:03:00
evt_000077,acc_001,usr_acc_001_08,sess_acc_001_0_08_4044,reports,2026-07-05 16:10:00
evt_000078,acc_001,usr_acc_001_08,sess_acc_001_0_08_5033,users_mgmt,2026-06-29 17:04:00
evt_000079,acc_001,usr_acc_001_08,sess_acc_001_0_08_1651,dashboard,2026-06-29 17:04:00
evt_000080,acc_001,usr_acc_001_08,sess_acc_001_0_08_6147,integrations,2026-07-03 09:26:00
evt_000081,acc_001,usr_acc_001_08,sess_acc_001_0_08_4910,reports,2026-07-03 09:26:00
evt_000082,acc_001,usr_acc_001_08,sess_acc_001_0_08_5351,alerts,2026-07-03 09:26:00
evt_000083,acc_001,usr_acc_001_09,sess_acc_001_0_09_1152,analytics,2026-06-30 18:41:00
evt_000084,acc_001,usr_acc_001_09,sess_acc_001_0_09_8508,export,2026-06-30 18:41:00
evt_000085,acc_001,usr_acc_001_09,sess_acc_001_0_09_2638,dashboard,2026-06-30 18:41:00
evt_000086,acc_001,usr_acc_001_09,sess_acc_001_0_09_5002,export,2026-06-29 16:13:00
evt_000087,acc_001,usr_acc_001_09,sess_acc_001_0_09_7054,analytics,2026-06-29 16:13:00
evt_000088,acc_001,usr_acc_001_09,sess_acc_001_0_09_5669,dashboard,2026-06-29 16:13:00
evt_000089,acc_001,usr_acc_001_09,sess_acc_001_0_09_5905,dashboard,2026-06-30 15:53:00
evt_000090,acc_001,usr_acc_001_09,sess_acc_001_0_09_2697,alerts,2026-06-30 15:53:00
evt_000091,acc_001,usr_acc_001_09,sess_acc_001_0_09_3200,integrations,2026-06-30 15:53:00
evt_000092,acc_001,usr_acc_001_09,sess_acc_001_0_09_5462,export,2026-07-01 09:56:00
evt_000093,acc_001,usr_acc_001_09,sess_acc_001_0_09_5325,api,2026-07-01 17:13:00
evt_000094,acc_001,usr_acc_001_09,sess_acc_001_0_09_9280,alerts,2026-07-01 17:13:00
evt_000095,acc_001,usr_acc_001_09,sess_acc_001_0_09_9004,users_mgmt,2026-07-01 17:13:00
evt_000096,acc_001,usr_acc_001_10,sess_acc_001_0_10_3143,integrations,2026-07-05 08:05:00
evt_000097,acc_001,usr_acc_001_10,sess_acc_001_0_10_5291,dashboard,2026-07-05 08:05:00
evt_000098,acc_001,usr_acc_001_10,sess_acc_001_0_10_3647,users_mgmt,2026-07-05 08:05:00
evt_000099,acc_001,usr_acc_001_10,sess_acc_001_0_10_8239,export,2026-07-05 08:05:00
evt_000100,acc_001,usr_acc_001_10,sess_acc_001_0_10_2232,reports,2026-07-03 14:35:00
evt_000101,acc_001,usr_acc_001_10,sess_acc_001_0_10_3426,alerts,2026-07-04 10:34:00
evt_000102,acc_001,usr_acc_001_10,sess_acc_001_0_10_6862,alerts,2026-07-02 10:02:00
evt_000103,acc_001,usr_acc_001_10,sess_acc_001_0_10_4441,users_mgmt,2026-07-02 10:02:00
evt_000104,acc_001,usr_acc_001_10,sess_acc_001_0_10_5088,dashboard,2026-07-02 10:02:00
evt_000105,acc_001,usr_acc_001_11,sess_acc_001_0_11_7755,export,2026-06-29 13:49:00
evt_000106,acc_001,usr_acc_001_11,sess_acc_001_0_11_1406,reports,2026-06-29 13:49:00
evt_000107,acc_001,usr_acc_001_11,sess_acc_001_0_11_3938,users_mgmt,2026-06-29 13:49:00
evt_000108,acc_001,usr_acc_001_11,sess_acc_001_0_11_6442,alerts,2026-06-29 13:49:00
evt_000109,acc_001,usr_acc_001_11,sess_acc_001_0_11_2771,integrations,2026-07-05 14:51:00
evt_000110,acc_001,usr_acc_001_11,sess_acc_001_0_11_7267,reports,2026-07-05 14:51:00
evt_000111,acc_001,usr_acc_001_11,sess_acc_001_0_11_6000,api,2026-07-05 08:54:00
